"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID1490","CAT03","ITM22","25+8+8X45","25","8","8","13","18","46","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1490","CAT03","ITM23","32+9+9X50","32","9","9","13","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID942","CAT09","ITM64","60X91","60","0","0","25","36","91","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1474","CAT04","ITM29","22X30","22","0","0","10","12","30","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1491","CAT03","ITM20","23+7+7X35","23","7","7","13","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1491","CAT03","ITM21","32+10+10X50","32","10","10","15","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1491","CAT06","ITM40","50X100","50","","","5","20","51","HDPE","MAS01","Yes","PKT","1","20K/Bag","بدون"
"CID1416","CAT04","ITM29","28+7+7X35","28","7","7","40","14","36","LDPE","MAS06","Yes","Kg.","1","20K/Bag","بنانة"
"CID1492","CAT04","ITM29","26X40","26","0","0","20","16","41","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1492","CAT04","ITM30","37+7+7X50","37","7","7","40","20","51","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1492","CAT04","ITM31","45+8+8X55","45","8","8","40","22","56","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1423","CAT01","ITM09","51+15+15X0","51","15","15","0","بدون","0","Regrind","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID1493","CAT04","ITM29","25X35","25","0","0","18","14","36","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID404","CAT01","ITM11","70+25+25X130","70","25","25","12","بدون","130","Regrind","MAS02","No","Packet","2.8","5P/Bag","بدون"
"CID137","CAT06","ITM41","55X0","55","0","0","6","بدون","0","HDPE","MAS28","No","Roll","0.8","20K/Bag","بدون"
"CID1439","CAT02","ITM12","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM13","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM14","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM15","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM16","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM17","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM18","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Roll","0.9","20K/Bag","بدون"
"CID1439","CAT02","ITM19","0X0","0","0","0","0","بدون","0","Regrind","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID1488","CAT01","ITM08","50+15+15X125","50","15","15","18","بدون","125","HDPE","MAS25","No","Packet","2","10P/Bag","بدون"
"CID1494","CAT04","ITM29","26X35","26","0","0","10","14","35","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1471","CAT04","ITM29","33+10+10X40","33","10","10","40","16","41","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1474","CAT03","ITM24","44+12+12X71","44","12","12","20","28","71","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID1364","CAT03","ITM21","25+7+7X40","25","7","7","12","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1495","CAT04","ITM30","45+12+12X91","45","12","12","35","36","91","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1495","CAT04","ITM31","59+20+20X99","59","20","20","35","39","99","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID720","CAT01","ITM03","35+12+12X60","35","12","12","40","24","61","LDPE","MAS22","Yes","Packet","2","10P/Bag","بدون"
"CID720","CAT01","ITM05","46+18+18X91","46","18","18","45","36","91","LDPE","MAS22","Yes","Packet","3","5P/Bag","بدون"
"CID720","CAT01","ITM06","48+18+18X99","48","18","18","50","39","99","LDPE","MAS22","Yes","Packet","4","5P/Bag","بدون"
"CID1496","CAT04","ITM29","27+9+9X40","27","9","9","14","16","41","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1496","CAT04","ITM31","35+13+13X50","35","13","13","40","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1497","CAT04","ITM30","33+6.5+6.5X40","33","6.5","6.5","28","16","41","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1254","CAT04","ITM30","28+8+8X45","28","8","8","38","18","46","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
