id,customer_id,category_id,item_id,size_caption,width,left_facing,right_facing,thickness,printing_cylinder,cutting_length_cm,raw_material,master_batch_id,is_printed,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg,cliche_front_design,cliche_back_design,notes,status,created_at
61,CID025,CAT01,ITM07,60+15+15X110,60,15,15,9,بدون طباعة,110,Regrind,PT-CLEAR,FALSE,باكت,بدون,2,1,2,,,5P/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
62,CID025,CAT01,ITM06,47+19+19X94,47,19,19,12.5,بدون طباعة,94,Regrind,PT-CLEAR,FALSE,باكت,بدون,2.1,1,2.1,,,50Pcs/P x 5P/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
63,CID026,CAT04,ITM29,26+7+7X40,26,7,7,35,16,41,HDPE,PT-180361,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
64,CID036,CAT04,ITM31,45X50,45,0,0,18,20,51,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
65,CID038,CAT06,ITM42,60X120,60,0,0,8,بدون طباعة,120,LDPE,PT-111111,FALSE,رول,بدون,2,1,2,,,4R/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
67,CID040,CAT04,ITM29,22+6+6X30,22,6,6,20,12,30,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
68,CID040,CAT04,ITM30,31+6+6X45,31,6,6,25,18,46,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
69,CID040,CAT04,ITM31,40+8+8X50,40,8,8,25,20,51,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
70,CID040,CAT04,ITM32,42+9+9X60,42,9,9,27,24,61,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
71,CID040,CAT04,ITM33,62+15+15X81,62,15,15,28,32,81,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
72,CID041,CAT03,ITM22,0X0,0,0,0,0,بدون طباعة,0,HDPE,PT-CLEAR,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
74,CID041,CAT03,ITM24,44+13+13X81,44,13,13,18,32,81,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
75,CID042,CAT03,ITM22,31+9+9X50,31,9,9,16,20,51,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:55 GMT+0000 (Coordinated Universal Time)
76,CID042,CAT03,ITM23,37+13+13X60,37,13,13,16,24,61,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
77,CID042,CAT03,ITM24,50+14+14X81,50,14,14,19,32,81,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
78,CID051,CAT04,ITM30,38+6+6X45,38,6,6,38,18,46,LDPE,PT-180361,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
79,CID051,CAT04,ITM31,46+6+6X50,46,6,6,38,20,51,LDPE,PT-180361,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
80,CID065,CAT04,ITM30,41X50,41,0,0,20,20,51,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
82,CID145,CAT03,ITM21,29+9+9X45,29,9,9,12,18,46,HDPE,PT-111111,TRUE,كيلو,علاقي هوك,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:56 GMT+0000 (Coordinated Universal Time)
34,CID004,CAT01,ITM07,60+15+15X110,60,15,15,9,بدون طباعة,110,Regrind,PT-000000,FALSE,باكت,بدون,1.4,10,14,,,50Pcs/P x 5P/Bag,active,Thu Aug 21 2025 16:30:14 GMT+0000 (Coordinated Universal Time)
36,CID004,CAT01,ITM10,70+25+25X130,70,25,25,12,بدون طباعة,130,Regrind,PT-000000,FALSE,باكت,بدون,3,1,3,,,5P/Bag,active,Thu Aug 21 2025 16:30:14 GMT+0000 (Coordinated Universal Time)
4048,CID1676,CAT08,ITM55,20X35,20,0,0,7,14,36,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,,,,,20K/Bag,active,Thu Aug 21 2025 16:58:28 GMT+0000 (Coordinated Universal Time)
86,CID749,CAT04,ITM29,21X0,21,0,0,15,بدون طباعة,0,LDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
88,CID749,CAT04,ITM31,40+6+6X0,40,6,6,40,بدون طباعة,0,LDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
89,CID749,CAT03,ITM21,28+9+9X0,28,9,9,10,بدون طباعة,0,HDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
90,CID749,CAT03,ITM22,32+10+10X0,32,10,10,10,بدون طباعة,0,HDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
91,CID749,CAT03,ITM23,40+14+14X0,40,14,14,15,بدون طباعة,0,HDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
92,CID402,CAT03,ITM22,30+9+9X50,30,9,9,14,20,51,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:57 GMT+0000 (Coordinated Universal Time)
94,CID402,CAT03,ITM24,40+9+9X71,40,9,9,25,28,71,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:58 GMT+0000 (Coordinated Universal Time)
95,CID402,CAT04,ITM31,59X0,59,0,0,15,بدون طباعة,0,LDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:58 GMT+0000 (Coordinated Universal Time)
96,CID747,CAT03,ITM22,32+10+10X50,32,10,10,18,20,51,HDPE,PT-120074,TRUE,كيلو,علاقي هوك,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:58 GMT+0000 (Coordinated Universal Time)
97,CID292,CAT03,ITM22,27+8+8X45,27,8,8,15,18,46,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:58 GMT+0000 (Coordinated Universal Time)
98,CID292,CAT03,ITM23,36+12+12X60,36,12,12,18,24,61,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:58 GMT+0000 (Coordinated Universal Time)
