id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
1152,16,PT-CLEAR,كيلو,بدون,1,20,20
1153,20,PT-120074,كيلو,بنانة,1,20,20
1154,18,PT-120074,كيلو,بنانة,1,20,20
1155,18,PT-CLEAR,كيلو,بنانة,1,20,20
1156,24,PT-120074,كيلو,بدون,1,20,20
1157,28,PT-111111,كيلو,علاقي,1,20,20
1158,22,PT-111111,كيلو,علاقي,1,20,20
1159,22,PT-CLEAR,كيلو,بنانة,1,20,20
1160,18,PT-111111,كيلو,بنانة,1,20,20
1161,بدون طباعة,PT-000000,رول,بدون,1,20,20
1162,بدون طباعة,PT-140352,باكت,بدون,1,20,20
1163,20,PT-180370,باكت,بدون,1.8,10,18
1164,30,PT-111111,كيلو,علاقي,1,20,20
1165,22,PT-111111,كيلو,علاقي,1,20,20
1166,بدون طباعة,PT-111111,رول,بدون,1,20,20
1167,24,PT-120074,كيلو,بنانة,1,20,20
1168,14,PT-111111,كيلو,علاقي,1,20,20
1169,18,PT-CLEAR,كيلو,علاقي,1,20,20
1170,20,PT-CLEAR,كيلو,علاقي,1,20,20
1171,24,PT-CLEAR,كيلو,علاقي,1,20,20
1172,30,PT-CLEAR,كيلو,علاقي,1,20,20
1173,32,PT-CLEAR,كيلو,علاقي,1,20,20
1174,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1175,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1176,بدون طباعة,PT-130231,كيلو,بدون,1,20,20
1177,24,PT-101008,كيلو,بنانة,1,20,20
1178,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1179,بدون طباعة,PT-CLEAR,رول,بدون,0.4,20,8
1180,24,PT-101008,كيلو,بنانة,1,20,20
1181,16,PT-111111,كيلو,بنانة,1,20,20
1182,25,PT-130231,كيلو,علاقي,1,20,20
1183,بدون طباعة,PT-130231,كيلو,علاقي,1,20,20
1184,16,PT-111111,كيلو,بنانة,1,20,20
1185,18,PT-111111,كيلو,علاقي,1,20,20
1186,بدون طباعة,PT-111111,رول,بدون,1,20,20
1187,22,PT-111111,كيلو,علاقي,1,20,20
1188,16,PT-111111,كيلو,علاقي,1,20,20
1189,16,PT-111111,كيلو,علاقي,1,20,20
1190,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
1191,18,PT-CLEAR,كيلو,بنانة,1,20,20
1192,12,PT-CLEAR,كيلو,بنانة,1,20,20
1193,24,PT-CLEAR,كيلو,بنانة,1,20,20
1194,36,PT-CLEAR,كيلو,بنانة,1,20,20
1195,28,PT-CLEAR,كيلو,بنانة,1,20,20
1196,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1197,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
1198,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
1199,20,PT-130232-A,كيلو,علاقي,1,20,20
1200,24,PT-130232-A,كيلو,علاقي,1,20,20
1201,28,PT-130232-A,كيلو,علاقي,1,20,20
1202,36,PT-111111,كيلو,علاقي,1,20,20
1203,20,PT-111111,كيلو,علاقي,1,20,20
1204,24,PT-111111,كيلو,علاقي هوك,1,20,20
1205,18,PT-120074,كيلو,بنانة,1,20,20
1206,20,PT-120074,كيلو,بنانة,1,20,20
1207,22,PT-120074,كيلو,بنانة,1,20,20
1208,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
1209,14,PT-130231,كيلو,بنانة,1,20,20
1210,24,PT-140340,كيلو,بنانة,1,20,20
1211,20,PT-111111,كيلو,علاقي,1,20,20
1212,بدون طباعة,PT-111111,كيلو,علاقي,1,20,20
1213,12,PT-111111,رول,بدون,1,20,20
1214,بدون طباعة,PT-111111,باكت,بدون,1,20,20
1215,18,PT-111111,كيلو,علاقي,1,20,20
1216,20,PT-111111,كيلو,علاقي,1,20,20
1217,24,PT-111111,كيلو,علاقي,1,20,20
1218,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1219,بدون طباعة,PT-CLEAR,كيلو,بنانة,1,20,20
1220,بدون طباعة,PT-111111,رول,بدون,1,20,20
1221,بدون طباعة,PT-CLEAR,رول,بدون,25,1,25
1222,14,PT-111111,كيلو,بنانة,1,20,20
1223,24,PT-111111,كيلو,بنانة,1,20,20
1224,20,PT-111111,كيلو,بنانة,1,20,20
1225,18,PT-111111,كيلو,بنانة,1,20,20
1226,32,PT-111111,كيلو,علاقي,1,20,20
1227,24,PT-111111,كيلو,علاقي,1,20,20
1228,20,PT-111111,كيلو,علاقي,1,20,20
1229,18,PT-111111,كيلو,علاقي,1,20,20
1230,24,PT-140079,كيلو,علاقي,1,20,20
1231,24,PT-130231,كيلو,علاقي,1,20,20
1232,16,PT-111111,كيلو,علاقي,1,20,20
1233,10,PT-111111,رول,بدون,1,20,20
1234,16,PT-111111,كيلو,بنانة,1,20,20
1235,16,PT-111111,كيلو,بنانة,1,20,20
1236,16,PT-111111,كيلو,علاقي,1,20,20
1237,20,PT-CLEAR,كيلو,بدون,1,20,20
1238,24,PT-111111,كيلو,علاقي,1,20,20
1239,بدون طباعة,PT-111111,كيلو,علاقي هوك,1,20,20
1240,14,PT-111111,كيلو,علاقي,1,20,20
1241,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1242,بدون طباعة,PT-120074,رول,بدون,1,20,20
1243,39,PT-000000,كيلو,بدون,1,20,20
1244,20,PT-111111,كيلو,علاقي,1,20,20
1245,20,PT-120074,كيلو,علاقي,1,20,20
1246,32,PT-120074,كيلو,بنانة,1,20,20
1247,20,PT-111111,كيلو,بنانة,1,20,20
1248,24,PT-111111,كيلو,بنانة,1,20,20
1249,32,PT-111111,كيلو,بنانة,1,20,20
1250,28,PT-111111,كيلو,بنانة,1,20,20
1251,20,PT-111111,كيلو,علاقي,1,20,20
1252,32,PT-111111,كيلو,علاقي,1,20,20
1253,20,PT-130231,كيلو,بدون,1,20,20
1254,16,PT-180374,كيلو,بنانة,1,20,20
1255,بدون طباعة,PT-111111,رول,بدون,1,20,20
1256,39,PT-111111,كيلو,بنانة,1,20,20
1257,بدون طباعة,PT-111111,رول,بدون,1.8,10,18
1258,24,PT-130231,باكت,بدون,1,20,20
1259,20,PT-130231,باكت,بدون,1.8,10,18
1260,18,PT-CLEAR,كيلو,علاقي,1,20,20
1261,24,PT-CLEAR,كيلو,علاقي,1,20,20
1262,32,PT-CLEAR,كيلو,علاقي,1,20,20
1263,24,PT-130231,كيلو,علاقي هوك,1,20,20
1264,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
1265,بدون طباعة,PT-111111,رول,بدون,1,20,20
1266,20,PT-CLEAR,كرتون,علاقي,1,20,20
1267,24,PT-CLEAR,كيلو,علاقي,1,20,20
1268,22,PT-111111,كيلو,بنانة,1,20,20
1269,32,PT-111111,كيلو,بنانة,1,20,20
1270,39,PT-111111,كيلو,بنانة,1,20,20
1271,12,PT-CLEAR,كيلو,بنانة,1,20,20
1272,18,PT-CLEAR,كيلو,بنانة,1,20,20
1273,20,PT-CLEAR,كيلو,بنانة,1,20,20
1274,بدون طباعة,PT-CLEAR,رول,بدون,5,1,5
1275,بدون طباعة,PT-111111,رول,بدون,1,20,20
1276,20,PT-111111,كيلو,بنانة,1,20,20
1277,18,PT-CLEAR,كيلو,بنانة,1,20,20
1278,18,PT-111111,كيلو,بنانة,1,20,20
1279,14,PT-CLEAR,كيلو,بنانة,1,20,20
1280,16,PT-CLEAR,كيلو,بنانة,1,20,20
1281,20,PT-CLEAR,كيلو,بنانة,1,20,20
1282,20,PT-111111,كيلو,علاقي,1,20,20
1283,28,PT-111111,كيلو,علاقي,1,20,20
1284,32,PT-111111,كيلو,علاقي,1,20,20
1285,20,PT-111111,كيلو,بنانة,1,20,20
1286,20,PT-180361,كيلو,علاقي,1,20,20
1287,28,PT-140079,كيلو,علاقي,1,20,20
1288,32,PT-130231,كيلو,علاقي,1,20,20
1289,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1290,30,PT-CLEAR,كيلو,بنانة,1,20,20
1291,20,PT-111111,كيلو,بنانة,1,20,20
1292,18,PT-111111,كيلو,بنانة,1,20,20
1293,16,PT-111111,كيلو,بنانة,1,20,20
1294,20,PT-CLEAR,كيلو,بنانة,1,20,20
1295,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1296,26,PT-130232-A,كيلو,علاقي,1,20,20
1297,36,PT-130232-A,كيلو,علاقي,1,20,20
1298,18,PT-111111,كيلو,بنانة,1,20,20
1299,20,PT-111111,كيلو,بنانة,1,20,20
1300,24,PT-111111,كيلو,بنانة,1,20,20
1301,20,PT-111111,كيلو,علاقي,1,20,20
1302,24,PT-111111,كيلو,علاقي,1,20,20
1303,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1304,16,PT-130231,كيلو,بنانة,1,20,20
1305,20,PT-CLEAR,كيلو,بدون,1,20,20
1306,16,PT-111111,كيلو,بنانة,1,20,20
1307,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1308,بدون طباعة,PT-111111,كور,بدون,3,1,3
1309,بدون طباعة,PT-111111,باكت,بدون,0.9,20,18
1310,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1311,بدون طباعة,PT-111111,رول,بدون,0.8,20,16
1312,16,PT-120074,كيلو,بنانة,1,20,20
1313,34,PT-111111,كيلو,علاقي,1,20,20
1314,12,PT-111111,كيلو,بنانة,1,20,20
1315,32,PT-120074,كيلو,بدون,1,20,20
1316,بدون طباعة,PT-CLEAR,كرتون,علاقي,4.8,1,4.8
1317,بدون طباعة,PT-120074,كرتون,علاقي,4.8,1,4.8
1318,بدون طباعة,PT-130231,كرتون,علاقي,4.8,1,4.8
1319,بدون طباعة,PT-CLEAR,كرتون,علاقي,4.8,1,4.8
1320,بدون طباعة,PT-CLEAR,كرتون,بدون,4.8,1,4.8
1321,20,PT-111111,رول,بدون,1.8,10,18
1322,20,PT-111111,كيلو,بنانة,1,20,20
1323,18,PT-111111,كيلو,علاقي,1,20,20
1324,10,PT-CLEAR,كيلو,بدون,1,20,20
1325,16,PT-111111,كيلو,بنانة,1,20,20
1326,16,PT-120074,كيلو,علاقي هوك,1,20,20
1327,18,PT-CLEAR,كيلو,بدون,1,20,20
1328,بدون طباعة,PT-111111,كور,بدون,1.8,10,18
1329,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1330,16,PT-120074,كيلو,بنانة,1,20,20
1331,14,PT-130232-A,كيلو,بدون,1,20,20
1332,20,PT-CLEAR,كيلو,بنانة,1,20,20
1333,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
1334,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1335,10,PT-111111,كيلو,بنانة,1,20,20
1336,14,PT-111111,كيلو,بنانة,1,20,20
1337,16,PT-111111,كيلو,بنانة,1,20,20
1338,39,PT-140079,كيلو,بنانة,1,20,20
1339,18,PT-111111,كيلو,علاقي,1,20,20
1340,26,PT-111111,كيلو,علاقي,1,20,20
1341,28,PT-111111,كيلو,علاقي,1,20,20
1342,20,PT-111111,كيلو,بدون,1,20,20
1343,32,PT-120074,كيلو,بدون,1,20,20
1344,16,PT-130231,كيلو,علاقي,1,20,20
1345,18,PT-130231,كيلو,علاقي,1,20,20
1346,22,PT-130231,كيلو,علاقي,1,20,20
1347,28,PT-130231,كيلو,علاقي,1,20,20
1348,22,PT-111111,كيلو,بنانة,1,20,20
1349,26,PT-111111,كيلو,علاقي,1,20,20
1350,39,PT-111111,كيلو,علاقي,1,20,20
1351,24,PT-111111,كيلو,علاقي,1,20,20
1352,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
1353,24,PT-111111,كيلو,بنانة,1,20,20
1354,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1355,14,PT-111111,كيلو,بنانة,1,20,20
1356,18,PT-111111,كيلو,بنانة,1,20,20
1357,20,PT-111111,كيلو,بنانة,1,20,20
1358,14,PT-111111,كيلو,بنانة,1,20,20
1359,16,PT-111111,كيلو,بنانة,1,20,20
1360,14,PT-CLEAR,كيلو,بدون,1,20,20
1361,12,PT-111111,كيلو,بنانة,1,20,20
1362,24,PT-120074,كيلو,علاقي,1,20,20
1363,بدون طباعة,PT-111111,باكت,بدون,2,10,20
1364,18,PT-111111,كيلو,علاقي,1,20,20
1365,24,PT-111111,كيلو,علاقي,1,20,20
1366,16,PT-CLEAR,كرتون,بدون,10,1,10
1367,14,PT-111111,كيلو,علاقي,1,20,20
1368,14,PT-CLEAR,كيلو,بدون,1,20,20
1369,بدون طباعة,PT-CLEAR,كيلو,بنانة,1,20,20
1370,بدون طباعة,PT-CLEAR,كيلو,بنانة,1,20,20
1371,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
1372,بدون طباعة,PT-120074,كيلو,بدون,1,20,20
1373,12,PT-111111,كيلو,بنانة,1,20,20
1374,12,PT-111111,كيلو,بنانة,1,20,20
1375,24,PT-111111,كيلو,علاقي,1,20,20
1376,24,PT-111111,كيلو,بنانة,1,20,20
1377,32,PT-180361,كيلو,بنانة,1,20,20
1378,8,PT-111111,كيلو,بنانة,1,20,20
1379,12,PT-111111,كيلو,بنانة,1,20,20
1380,26,PT-120074,كيلو,علاقي,1,20,20
1381,12,PT-CLEAR,كيلو,بدون,1,20,20
1382,14,PT-111111,كيلو,علاقي,1,20,20
1383,20,PT-111111,كيلو,علاقي,1,20,20
1384,24,PT-111111,كيلو,علاقي,1,20,20
1385,16,PT-111111,كيلو,بنانة,1,20,20
1386,20,PT-111111,كيلو,بنانة,1,20,20
1387,24,PT-111111,كيلو,بنانة,1,20,20
1388,28,PT-111111,كيلو,بنانة,1,20,20
1389,16,PT-111111,كيلو,بنانة,1,20,20
1390,20,PT-111111,كيلو,بنانة,1,20,20
1391,24,PT-111111,كيلو,بنانة,1,20,20
1392,28,PT-111111,كيلو,بنانة,1,20,20
1393,16,PT-111111,كيلو,بنانة,1,20,20
1394,20,PT-111111,كيلو,بنانة,1,20,20
1395,24,PT-111111,كيلو,بنانة,1,20,20
1396,28,PT-111111,كيلو,بنانة,1,20,20
1397,18,PT-180361,كيلو,بنانة,1,20,20
1398,20,PT-180361,كيلو,بنانة,1,20,20
1399,22,PT-111111,كيلو,علاقي,1,20,20
1400,28,PT-111111,كيلو,علاقي,1,20,20
1401,28,PT-120074,كيلو,علاقي,1,20,20
1402,20,PT-111111,كيلو,علاقي,1,20,20
1403,24,PT-111111,كيلو,علاقي,1,20,20
1404,32,PT-111111,كيلو,علاقي,1,20,20
1405,بدون طباعة,PT-CLEAR,رول,بدون,20,1,20
1406,24,PT-111111,كيلو,بنانة,1,20,20
1407,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
1408,18,PT-111111,كيلو,بنانة,1,20,20
1409,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1410,24,PT-111111,كيلو,بنانة,1,20,20
1411,12,PT-111111,كيلو,بنانة,1,20,20
1412,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
1413,26,PT-CLEAR,كيلو,بدون,1,20,20
1414,14,PT-CLEAR,كيلو,بدون,1,20,20
1415,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1416,18,PT-111111,كيلو,بدون,1,20,20
1417,24,PT-111111,كيلو,بدون,1,20,20
1418,16,PT-111111,كيلو,بنانة,1,20,20
1419,18,PT-111111,كيلو,بنانة,1,20,20
1420,16,PT-120074,كيلو,بنانة,1,20,20
1421,20,PT-120074,كيلو,بنانة,1,20,20
1422,30,PT-111111,كيلو,علاقي,1,20,20
1423,12,PT-CLEAR,كيلو,بدون,1,20,20
1424,18,PT-CLEAR,كيلو,بدون,1,20,20
1425,18,PT-000000,كيلو,بنانة,1,20,20
1426,بدون طباعة,PT-000000,رول,بدون,1.5,10,15
1427,16,PT-111111,كيلو,بدون,1,20,20
1428,20,PT-111111,كيلو,بدون,1,20,20
1429,24,PT-111111,كيلو,بدون,1,20,20
1430,32,PT-111111,كيلو,بدون,1,20,20
1431,20,PT-111111,كيلو,علاقي,1,20,20
1432,16,PT-MIX,كيلو,بنانة,1,20,20
1433,بدون طباعة,PT-140352,كرتون,بدون,5,1,5
1434,18,PT-111111,كيلو,بنانة,1,20,20
1435,20,PT-120074,كيلو,بنانة,1,20,20
1436,24,PT-120074,كيلو,بنانة,1,20,20
1437,28,PT-120074,كيلو,بنانة,1,20,20
1438,10,PT-120074,كيلو,بنانة,1,20,20
1439,14,PT-180361,كيلو,بنانة,1,20,20
1440,16,PT-120074,رول,بدون,1,20,20
1441,18,PT-120074,كيلو,علاقي,1,20,20
1442,22,PT-120074,كيلو,علاقي,1,20,20
1443,24,PT-120074,كيلو,علاقي,1,20,20
1444,28,PT-120074,كيلو,علاقي,1,20,20
1445,32,PT-120074,كيلو,علاقي,1,20,20
1446,16,PT-CLEAR,كيلو,بنانة,1,20,20
1447,18,PT-CLEAR,كيلو,بنانة,1,20,20
1448,20,PT-CLEAR,كيلو,بنانة,1,20,20
1449,24,PT-111111,كيلو,بنانة,1,20,20
1450,20,PT-000000,كيلو,بنانة,1,20,20
1451,بدون طباعة,PT-130232-B,كيلو,بدون,1,20,20
1452,12,PT-MIX,كيلو,بدون,1,20,20
1453,20,PT-111111,باكت,بدون,0.9,20,18
1454,20,PT-111111,كور,بدون,1.8,10,18
1455,20,PT-111111,رول,بدون,0.8,20,16
1456,20,PT-111111,رول,بدون,1.8,10,18
1457,20,PT-111111,باكت,بدون,1,20,20
1458,20,PT-111111,كور,بدون,1.8,10,18
1459,20,PT-111111,رول,بدون,0.8,20,16
1460,20,PT-111111,كور,بدون,1.8,10,18
1461,18,PT-CLEAR,كيلو,علاقي,1,20,20
1462,بدون طباعة,PT-CLEAR,كرتون,علاقي هوك,15,1,15
1463,بدون طباعة,PT-CLEAR,كيلو,علاقي هوك,1,20,20
1464,18,PT-111111,كيلو,علاقي,1,20,20
1465,26,PT-111111,كيلو,علاقي,1,20,20
1466,32,PT-111111,كيلو,علاقي,1,20,20
1467,20,PT-130231,كيلو,بنانة,1,20,20
1468,20,PT-111111,باكت,بدون,0.9,20,18
1469,20,PT-111111,كور,بدون,1.8,10,18
1470,20,PT-111111,رول,بدون,0.8,20,16
1471,18,PT-111111,كيلو,بنانة,1,20,20
1472,22,PT-111111,كيلو,بنانة,1,20,20
1473,22,PT-111111,كيلو,علاقي,1,20,20
1474,20,PT-111111,كيلو,علاقي,1,20,20
1475,24,PT-140079,كيلو,علاقي,1,20,20
1476,28,PT-130232-A,كيلو,علاقي,1,20,20
1477,32,PT-180361,كيلو,علاقي,1,20,20
1478,بدون طباعة,PT-140340,كيلو,بدون,1,20,20
1479,24,PT-130231,كيلو,بدون,1,20,20
1480,24,PT-180122,كيلو,بدون,1,20,20
1481,18,PT-130232-B,كيلو,بدون,1,20,20
1482,بدون طباعة,PT-000000,كيلو,بدون,1,20,20
1483,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1484,14,PT-111111,كيلو,بنانة,1,20,20
1485,20,PT-111111,كيلو,بنانة,1,20,20
1486,32,PT-111111,كيلو,بنانة,1,20,20
1487,بدون طباعة,PT-140352,كرتون,بدون,2.5,1,2.5
1488,بدون طباعة,PT-000000,باكت,بدون,2.4,1,2.4
1489,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1490,12,PT-111111,كرتون,بنانة,10,1,10
1491,20,PT-CLEAR,باكت,بدون,1,20,20
1492,20,PT-130232-B,كيلو,بدون,1,20,20
1493,10,PT-CLEAR,كيلو,بدون,1,20,20
1494,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1495,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1496,26,PT-111111,كيلو,بدون,1,20,20
1497,18,PT-111111,كيلو,علاقي,1,20,20
1498,20,PT-111111,كيلو,علاقي,1,20,20
1499,16,PT-111111,كرتون,بنانة,10,1,10
1500,بدون طباعة,PT-111111,كرتون,بدون,2.5,1,2.5
1501,20,PT-111111,كور,بدون,3,1,3
1502,20,PT-111111,رول,بدون,0.8,20,16
1503,20,PT-111111,باكت,بدون,0.9,20,18
1504,18,PT-CLEAR,كيلو,بنانة,1,20,20
1505,بدون طباعة,PT-102004,كيلو,بدون,1,20,20
1506,بدون طباعة,PT-102004,كيلو,بدون,1,20,20
1507,بدون طباعة,PT-102004,كيلو,بدون,1,20,20
1508,بدون طباعة,PT-180363,كيلو,بنانة,1,20,20
1509,بدون طباعة,PT-MIX,كيلو,بنانة,1,20,20
1510,بدون طباعة,PT-MIX,كيلو,بنانة,1,20,20
1511,28,PT-111111,كيلو,بنانة,1,20,20
1512,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1513,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1514,18,PT-CLEAR,كيلو,بنانة,1,20,20
1515,20,PT-CLEAR,كيلو,بنانة,1,20,20
1516,24,PT-CLEAR,كيلو,بنانة,1,20,20
1517,28,PT-120074,كيلو,علاقي,1,20,20
1518,24,PT-130231,كيلو,علاقي هوك,1,20,20
1519,18,PT-130232-B,كيلو,بنانة,1,20,20
1520,28,PT-120074,كيلو,بنانة,1,20,20
1521,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1522,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
1523,20,PT-111111,باكت,بدون,0.9,20,18
1524,10,PT-CLEAR,كيلو,بدون,1,20,20
1525,12,PT-CLEAR,كيلو,بدون,1,20,20
1526,14,PT-CLEAR,كيلو,بدون,1,20,20
1527,22,PT-CLEAR,كيلو,بدون,1,20,20
1528,28,PT-CLEAR,كيلو,بدون,1,20,20
1529,32,PT-CLEAR,كيلو,بدون,1,20,20
1530,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
1531,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
1532,بدون طباعة,PT-CLEAR,رول,بدون,50,1,50
1533,24,PT-111111,كيلو,علاقي هوك,1,20,20
1534,12,PT-CLEAR,كيلو,بدون,1,20,20
1535,20,PT-111111,كيلو,بدون,1,20,20
1536,24,PT-111111,كيلو,بدون,1,20,20
1537,32,PT-111111,كيلو,بدون,1,20,20
1538,24,PT-111111,كيلو,بنانة,1,20,20
1539,18,PT-111111,كيلو,بنانة,1,20,20
1540,20,PT-111111,كيلو,علاقي,1,20,20
1541,24,PT-111111,كيلو,علاقي,1,20,20
1542,32,PT-111111,كيلو,علاقي,1,20,20
1543,20,PT-111111,كيلو,علاقي,1,20,20
1544,28,PT-111111,كيلو,علاقي,1,20,20
1545,36,PT-111111,كيلو,علاقي,1,20,20
1546,بدون طباعة,PT-140340,كيلو,بنانة,1,20,20
1547,بدون طباعة,PT-140340,كيلو,بنانة,1,20,20
1548,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1549,18,PT-111111,كيلو,علاقي,1,20,20
1550,بدون طباعة,PT-111111,كيلو,علاقي,1,20,20
1551,24,PT-111111,كيلو,علاقي,1,20,20
1552,22,PT-120074,كيلو,بنانة,1,20,20
1553,12,PT-111111,كيلو,بنانة,1,20,20
1554,16,PT-111111,كيلو,بنانة,1,20,20
1555,16,PT-111111,كيلو,بدون,1,20,20
1556,20,PT-111111,كيلو,بدون,1,20,20
1557,24,PT-111111,كيلو,بدون,1,20,20
1558,بدون طباعة,PT-CLEAR,كيلو,بدون,3,1,3
1559,بدون طباعة,PT-CLEAR,كيلو,بنانة,1,20,20
1560,20,PT-111111,كيلو,علاقي,1,20,20
1561,20,PT-111111,كيلو,بدون,1,20,20
1562,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1563,36,PT-CLEAR,كيلو,بدون,1,20,20
1564,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
1565,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
1566,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
1567,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
1568,16,PT-111111,كيلو,بنانة,1,20,20
1569,20,PT-111111,كيلو,بنانة,1,20,20
1570,28,PT-111111,كيلو,بنانة,1,20,20
1571,32,PT-111111,كيلو,بنانة,1,20,20
1572,20,PT-111111,كيلو,بنانة,1,20,20
1573,بدون طباعة,PT-140352,كرتون,بدون,2.5,1,2.5
1574,24,PT-111111,كيلو,علاقي,1,20,20
1575,28,PT-111111,كيلو,علاقي,1,20,20
1576,32,PT-111111,كيلو,علاقي,1,20,20
1577,18,PT-CLEAR,كيلو,بنانة,1,20,20
1578,22,PT-CLEAR,كيلو,بنانة,1,20,20
1579,26,PT-CLEAR,كيلو,بنانة,1,20,20
1580,26,PT-CLEAR,كيلو,بدون,1,20,20
1581,20,PT-111111,باكت,بدون,0.9,20,18
1582,بدون طباعة,PT-150086,رول,بدون,45,1,45
1583,30,PT-CLEAR,كيلو,بدون,1,20,20
1584,36,PT-CLEAR,كيلو,بدون,1,20,20
1585,18,PT-CLEAR,كيلو,علاقي,1,20,20
1586,20,PT-150245,كيلو,بنانة,1,20,20
1587,26,PT-111111,كيلو,بدون,1,20,20
1588,32,PT-111111,كيلو,بدون,1,20,20
1589,34,PT-CLEAR,كيلو,بدون,1,20,20
1590,22,PT-CLEAR,كيلو,بدون,1,20,20
1591,24,PT-CLEAR,كيلو,بدون,1,20,20
1592,18,PT-111111,كيلو,بنانة,1,20,20
1593,22,PT-111111,كيلو,بنانة,1,20,20
1594,24,PT-111111,كيلو,بنانة,1,20,20
1595,بدون طباعة,PT-CLEAR,كيلو,علاقي,1,20,20
1596,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
1597,10,PT-111111,كيلو,بنانة,1,20,20
1598,14,PT-111111,كيلو,بنانة,1,20,20
1599,18,PT-120074,كيلو,بنانة,1,20,20
1600,18,PT-180361,كيلو,بنانة,1,20,20
1601,بدون طباعة,PT-CLEAR,باكت,بدون,2,1,2
1602,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1603,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1604,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1605,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
1606,16,PT-180361,كيلو,بنانة,1,20,20
1607,24,PT-180361,كيلو,بنانة,1,20,20
1608,20,PT-180361,كيلو,بنانة,1,20,20
1609,22,PT-CLEAR,كيلو,بدون,1,20,20
1610,14,PT-120074,كيلو,بدون,1,20,20
1611,20,PT-111111,كيلو,علاقي,1,20,20
1612,36,PT-CLEAR,كيلو,بدون,1,20,20
1613,14,PT-111111,كيلو,بدون,1,20,20
1614,بدون طباعة,PT-000000,باكت,بدون,6.5,3,19.5
1615,14,PT-111111,كيلو,علاقي هوك,1,20,20
1616,18,PT-111111,كيلو,علاقي هوك,1,20,20
1617,20,PT-111111,كيلو,علاقي هوك,1,20,20
1618,20,PT-111111,باكت,بدون,1,20,20
1619,22,PT-CLEAR,رول,بدون,1,20,20
1620,28,PT-111111,كيلو,علاقي,1,20,20
1621,بدون طباعة,PT-120074,كرتون,بدون,15,1,15
1622,36,PT-150245,كيلو,علاقي,1,20,20
1623,بدون طباعة,PT-000000,باكت,بدون,1,20,20
1624,بدون طباعة,PT-000000,باكت,بدون,1,20,20
1625,بدون طباعة,PT-000000,باكت,بدون,1,20,20
1626,26,PT-180361,كيلو,بنانة,1,20,20
1627,18,PT-120074,كيلو,بنانة,1,20,20
1628,24,PT-CLEAR,كيلو,بدون,1,20,20
1629,20,PT-111111,كيلو,علاقي هوك,1,20,20
1630,28,PT-111111,كيلو,علاقي هوك,1,20,20
1631,18,PT-111111,كيلو,بنانة,1,20,20
1632,22,PT-111111,كيلو,بنانة,1,20,20
1633,16,PT-111111,كيلو,بنانة,1,20,20
1634,22,PT-111111,كيلو,بنانة,1,20,20
