id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
142,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
143,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
144,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
145,بدون طباعة,PT-180122,كيلو,بدون,1,20,20
146,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
147,بدون طباعة,PT-130231,كيلو,بدون,1,20,20
148,22,PT-111111,كيلو,بدون,1,20,20
149,28,PT-111111,كيلو,بدون,1,20,20
150,32,PT-111111,كيلو,بدون,1,20,20
151,20,PT-120074,كيلو,بدون,1,20,20
152,22,PT-120074,كيلو,علاقي,1,20,20
153,28,PT-120074,كيلو,بدون,1,20,20
154,12,PT-111111,كيلو,بنانة,1,20,20
155,18,PT-111111,كيلو,بدون,1,20,20
156,20,PT-111111,كيلو,بدون,1,20,20
157,24,PT-111111,كيلو,بدون,1,20,20
158,20,PT-111111,كيلو,بدون,1,20,20
159,بدون طباعة,PT-000000,باكت,بدون,1,20,20
160,بدون طباعة,PT-000000,باكت,بدون,1.2,10,12
161,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
162,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
163,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
164,بدون طباعة,PT-130231,كيلو,بدون,1,20,20
165,8,PT-140079,رول,بدون,25,1,25
166,بدون طباعة,PT-140340,كرتون,بدون,4,1,4
167,بدون طباعة,PT-000000,باكت,بدون,2.4,1,2.4
168,بدون طباعة,PT-000000,باكت,بدون,2.4,1,2.4
169,16,PT-180122,كيلو,علاقي,1,20,20
170,18,PT-180122,كيلو,علاقي,1,20,20
171,20,PT-130231,كيلو,علاقي,1,20,20
172,24,PT-130231,كيلو,بدون,1,20,20
173,18,PT-111111,كيلو,علاقي هوك,1,20,20
174,22,PT-111111,كيلو,علاقي هوك,1,20,20
175,14,PT-111111,كيلو,بنانة,1,20,20
176,24,PT-111111,كيلو,بدون,1,20,20
177,20,PT-111111,كيلو,بدون,1,20,20
178,24,PT-111111,كيلو,بدون,1,20,20
179,28,PT-111111,كيلو,بدون,1,20,20
180,32,PT-111111,كيلو,بدون,1,20,20
181,18,PT-111111,كيلو,بدون,1,20,20
182,20,PT-150245,كيلو,بدون,1,20,20
183,24,PT-180370,كيلو,بدون,1,20,20
184,28,PT-140079,كيلو,بدون,1,20,20
185,36,PT-120074,كيلو,بدون,1,20,20
186,بدون طباعة,PT-120074,كيلو,بدون,1,20,20
187,بدون طباعة,PT-120074,كيلو,بدون,1,20,20
188,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
189,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
190,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
191,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
192,18,PT-150086,كيلو,بدون,1,20,20
193,20,PT-180370,كيلو,بدون,1,20,20
194,24,PT-111111,كيلو,بدون,1,20,20
195,28,PT-120074,كيلو,بدون,1,20,20
196,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
197,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
198,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
199,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
200,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
201,بدون طباعة,PT-111111,باكت,بدون,0.5,20,10
202,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
203,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
204,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
205,بدون طباعة,PT-180361,كيلو,بدون,1,20,20
206,بدون طباعة,PT-180361,كيلو,بدون,1,20,20
207,بدون طباعة,PT-120074,رول,بدون,50,1,50
208,18,PT-111111,كيلو,بدون,1,20,20
209,24,PT-111111,كيلو,بدون,1,20,20
210,20,PT-120074,كيلو,بدون,1,20,20
211,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
212,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
213,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
214,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
215,28,PT-180361,كيلو,بنانة,1,20,20
216,30,PT-180361,كيلو,بنانة,1,20,20
217,39,PT-180361,كيلو,بنانة,1,20,20
218,30,PT-CLEAR,كيلو,بدون,1,20,20
219,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
220,14,PT-CLEAR,كيلو,بدون,1,20,20
221,20,PT-130231,كيلو,بدون,1,20,20
222,24,PT-130231,كيلو,بدون,1,20,20
223,32,PT-130231,كيلو,بدون,1,20,20
224,20,PT-111111,كيلو,بدون,1,20,20
225,24,PT-120074,كيلو,بدون,1,20,20
226,10,PT-CLEAR,كيلو,بدون,1,20,20
227,20,PT-111111,كيلو,بدون,1,20,20
228,24,PT-140079,كيلو,بدون,1,20,20
229,16,PT-120074,كيلو,بنانة,1,20,20
230,20,PT-120074,كيلو,بنانة,1,20,20
231,16,PT-CLEAR,كيلو,بدون,1,20,20
232,18,PT-CLEAR,كيلو,بدون,1,20,20
233,20,PT-CLEAR,كيلو,بدون,1,20,20
234,24,PT-CLEAR,كيلو,بدون,1,20,20
235,28,PT-130231,كيلو,بدون,1,20,20
236,39,PT-130231,كيلو,بدون,1,20,20
